Name,Date,Time,Type,Hours,Late,Emotion
IMG20260607211840,14-07-2026,08:14:20,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:20,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:20,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:20,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:20,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:21,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:21,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:21,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:21,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:22,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:22,IN,,False,Neutral
images (2),14-07-2026,08:14:24,IN,,False,Neutral
images (2),14-07-2026,08:14:24,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:24,IN,,False,Neutral
images (2),14-07-2026,08:14:24,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:25,IN,,False,Neutral
images (2),14-07-2026,08:14:25,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:25,IN,,False,Neutral
images (2),14-07-2026,08:14:25,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:25,IN,,False,Neutral
images (2),14-07-2026,08:14:25,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:26,IN,,False,Neutral
images (2),14-07-2026,08:14:26,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:26,IN,,False,Neutral
images (2),14-07-2026,08:14:26,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:26,IN,,False,Neutral
images (2),14-07-2026,08:14:26,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:26,IN,,False,Neutral
images (2),14-07-2026,08:14:27,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:27,IN,,False,Neutral
images (2),14-07-2026,08:14:27,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:27,IN,,False,Neutral
images (2),14-07-2026,08:14:27,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:27,IN,,False,Neutral
images (2),14-07-2026,08:14:28,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:28,IN,,False,Neutral
images (2),14-07-2026,08:14:28,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:28,IN,,False,Neutral
images (2),14-07-2026,08:14:28,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:28,IN,,False,Neutral
images (2),14-07-2026,08:14:29,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:29,IN,,False,Neutral
images (2),14-07-2026,08:14:29,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:29,IN,,False,Neutral
images (2),14-07-2026,08:14:29,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:30,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:30,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:30,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:30,IN,,False,Neutral
images (2),14-07-2026,08:14:30,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:30,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:30,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:30,IN,,False,Neutral
images (2),14-07-2026,08:14:31,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:31,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:31,OUT,0h 00m,False,Neutral
IMG20260607211840,14-07-2026,08:14:31,IN,,False,Neutral
images (2),14-07-2026,08:14:31,IN,,False,Neutral
IMG20260607211840,14-07-2026,08:14:31,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:31,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:31,IN,,False,Neutral
images (2),14-07-2026,08:14:32,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:32,IN,,False,Neutral
images (2),14-07-2026,08:14:32,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:32,IN,,False,Neutral
images (2),14-07-2026,08:14:32,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:33,IN,,False,Neutral
images (2),14-07-2026,08:14:33,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:33,IN,,False,Neutral
images (2),14-07-2026,08:14:33,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:33,IN,,False,Neutral
images (2),14-07-2026,08:14:33,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:34,IN,,False,Neutral
images (2),14-07-2026,08:14:34,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:34,IN,,False,Neutral
images (2),14-07-2026,08:14:34,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:34,IN,,False,Neutral
images (2),14-07-2026,08:14:34,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:35,IN,,False,Neutral
images (2),14-07-2026,08:14:35,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:35,IN,,False,Neutral
images (2),14-07-2026,08:14:35,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:35,IN,,False,Neutral
images (2),14-07-2026,08:14:36,OUT,0h 00m,False,Neutral
images (2),14-07-2026,08:14:36,IN,,False,Neutral
images (2),14-07-2026,08:14:36,OUT,0h 00m,False,Neutral
